Iteration	CPUTime	PhysTime	Travels
1	18	0	0.00992953813
2	19	0	0.0198590763
3	19	0	0.0297886144
4	20	0	0.0397181525
5	20	0	0.0496476907
6	21	0	0.0595772288
7	21	0	0.0695067669
8	22	0	0.0794363051
9	22	0	0.0893658432
10	23	0	0.0992953813
11	23	0	0.109224919
12	23	0	0.119154458
13	24	0	0.129083996
14	24	0	0.139013534
15	25	0	0.148943072
16	25	0	0.15887261
17	25	0	0.168802148
18	26	0	0.178731686
19	26	0	0.188661225
20	27	0	0.198590763
21	27	0	0.208520301
22	27	0	0.218449839
23	28	0	0.228379377
24	28	0	0.238308915
25	29	0	0.248238453
26	29	0	0.258167991
27	29	0	0.26809753
28	30	0	0.278027068
29	30	0	0.287956606
30	31	0	0.297886144
31	31	0	0.307815682
32	31	0	0.31774522
33	32	0	0.327674758
34	32	0	0.337604297
35	33	0	0.347533835
36	33	0	0.357463373
37	33	0	0.367392911
38	34	0	0.377322449
39	34	0	0.387251987
40	35	0	0.397181525
41	35	0	0.407111063
42	35	0	0.417040602
43	36	0	0.42697014
44	36	0	0.436899678
45	37	0	0.446829216
46	37	0	0.456758754
47	37	0	0.466688292
48	38	0	0.47661783
49	38	0	0.486547369
50	39	0	0.496476907
51	39	0	0.506406445
52	39	0	0.516335983
53	40	0	0.526265521
54	40	0	0.536195059
55	41	0	0.546124597
56	41	0	0.556054135
57	41	0	0.565983674
58	42	0	0.575913212
59	42	0	0.58584275
60	43	0	0.595772288
61	43	0	0.605701826
62	43	0	0.615631364
63	44	0	0.625560902
64	44	0	0.635490441
65	45	0	0.645419979
66	45	0	0.655349517
67	46	0	0.665279055
68	46	0	0.675208593
69	46	0	0.685138131
70	47	0	0.695067669
71	47	0	0.704997208
72	48	0	0.714926746
73	48	0	0.724856284
74	48	0	0.734785822
75	49	0	0.74471536
76	49	0	0.754644898
77	50	0	0.764574436
78	50	0	0.774503974
79	50	0	0.784433513
80	51	0	0.794363051
81	51	0	0.804292589
82	52	0	0.814222127
83	52	0	0.824151665
84	52	0	0.834081203
85	53	0	0.844010741
86	53	0	0.85394028
87	54	0	0.863869818
88	54	0	0.873799356
89	54	0	0.883728894
90	55	0	0.893658432
91	55	0	0.90358797
92	56	0	0.913517508
93	56	0	0.923447046
94	56	0	0.933376585
95	57	0	0.943306123
96	57	0	0.953235661
97	58	0	0.963165199
98	58	0	0.973094737
99	58	0	0.983024275
100	59	0	0.992953813
101	59	0	1.00288335
102	60	0	1.01281289
103	60	0	1.02274243
104	61	0	1.03267197
105	61	0	1.0426015
106	62	0	1.05253104
107	62	0	1.06246058
108	63	0	1.07239012
109	63	0	1.08231966
110	63	0	1.09224919
111	64	0	1.10217873
112	64	0	1.11210827
113	65	0	1.12203781
114	65	0	1.13196735
115	66	0	1.14189689
116	66	0	1.15182642
117	67	0	1.16175596
118	67	0	1.1716855
119	68	0	1.18161504
120	68	0	1.19154458
121	69	0	1.20147411
122	69	0	1.21140365
123	69	0	1.22133319
124	70	0	1.23126273
125	70	0	1.24119227
126	71	0	1.2511218
127	71	0	1.26105134
128	72	0	1.27098088
129	72	0	1.28091042
130	73	0	1.29083996
131	73	0	1.3007695
132	73	0	1.31069903
133	74	0	1.32062857
134	74	0	1.33055811
135	75	0	1.34048765
136	75	0	1.35041719
137	76	0	1.36034672
138	76	0	1.37027626
139	77	0	1.3802058
140	77	0	1.39013534
141	77	0	1.40006488
142	78	0	1.40999442
143	78	0	1.41992395
144	79	0	1.42985349
145	79	0	1.43978303
146	80	0	1.44971257
147	80	0	1.45964211
148	81	0	1.46957164
149	81	0	1.47950118
150	81	0	1.48943072
151	82	0	1.49936026
152	82	0	1.5092898
153	83	0	1.51921933
154	83	0	1.52914887
155	84	0	1.53907841
156	84	0	1.54900795
157	85	0	1.55893749
158	85	0	1.56886703
159	86	0	1.57879656
160	86	0	1.5887261
161	87	0	1.59865564
162	87	0	1.60858518
163	88	0	1.61851472
164	88	0	1.62844425
165	88	0	1.63837379
166	89	0	1.64830333
167	89	0	1.65823287
168	90	0	1.66816241
169	90	0	1.67809194
170	91	0	1.68802148
171	91	0	1.69795102
172	92	0	1.70788056
173	92	0	1.7178101
174	93	0	1.72773964
175	93	0	1.73766917
176	94	0	1.74759871
177	94	0	1.75752825
178	95	0	1.76745779
179	95	0	1.77738733
180	96	0	1.78731686
181	96	0	1.7972464
182	97	0	1.80717594
183	97	0	1.81710548
184	98	0	1.82703502
185	98	0	1.83696455
186	99	0	1.84689409
187	99	0	1.85682363
188	100	0	1.86675317
189	100	0	1.87668271
190	101	0	1.88661225
191	101	0	1.89654178
192	102	0	1.90647132
193	102	0	1.91640086
194	103	0	1.9263304
195	103	0	1.93625994
196	104	0	1.94618947
197	104	0	1.95611901
198	105	0	1.96604855
199	105	0	1.97597809
200	106	0	1.98590763
201	106	0	1.99583716
202	107	0	2.0057667
203	107	0	2.01569624
204	108	0	2.02562578
205	108	0	2.03555532
206	108	0	2.04548486
207	109	0	2.05541439
208	109	0	2.06534393
209	110	0	2.07527347
210	110	0	2.08520301
211	111	0	2.09513255
212	111	0	2.10506208
213	112	0	2.11499162
214	112	0	2.12492116
215	113	0	2.1348507
216	113	0	2.14478024
217	114	0	2.15470978
218	114	0	2.16463931
219	115	0	2.17456885
220	115	0	2.18449839
221	115	0	2.19442793
222	116	0	2.20435747
223	116	0	2.214287
224	117	0	2.22421654
225	117	0	2.23414608
226	118	0	2.24407562
227	118	0	2.25400516
228	119	0	2.26393469
229	119	0	2.27386423
230	120	0	2.28379377
231	120	0	2.29372331
232	121	0	2.30365285
233	121	0	2.31358239
234	122	0	2.32351192
235	122	0	2.33344146
236	123	0	2.343371
237	123	0	2.35330054
238	124	0	2.36323008
239	124	0	2.37315961
240	125	0	2.38308915
241	125	0	2.39301869
242	126	0	2.40294823
243	126	0	2.41287777
244	127	0	2.4228073
245	127	0	2.43273684
246	127	0	2.44266638
247	128	0	2.45259592
248	128	0	2.46252546
249	129	0	2.472455
